호선명,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
1호선,서울역,813,16,8478,5920,10736,37191,29922,80358,53921,170533,39251,114126,38103,55958,46762,47869,55232,49303,57055,51283,48828,49860,64421,50831,71948,51102,115171,60380,176221,63184,86920,45583,61811,31079,59285,25122,41290,18647,15258,10959,11,1427,0,0,0,0,0,0
1호선,시청,30,1,1557,3131,2914,15686,5627,57041,6957,138115,7841,67596,8553,27971,12095,26249,13668,22574,17272,22013,22049,18517,28018,16094,32000,13771,59053,14576,115293,15487,46640,7610,34966,4267,34047,3807,22202,2630,7325,1755,5,143,0,1,0,1,0,0
1호선,종각,75,4,3014,4160,3319,23724,5074,92171,7924,209115,9987,120714,13458,53331,20798,45394,25190,40733,34636,42700,40115,36281,50544,31772,57906,30872,112976,35132,182870,43612,83167,24381,69067,10039,78851,6528,60248,4144,22662,2735,58,161,0,0,0,1,0,0
1호선,종로3가,201,22,4118,2484,3435,12520,4612,24320,7174,66473,10489,73357,20519,59967,31260,58879,37145,58437,47571,58249,50770,52199,56840,44373,60378,36765,67784,33252,94613,35091,59187,19383,44218,8733,48552,5817,38442,4165,13893,3525,53,698,0,0,0,0,0,0
1호선,종로5가,29,1,1708,3562,2587,15233,4517,37360,7440,96741,10656,60684,17492,49432,25615,48395,32360,47275,39556,43658,46587,42267,51601,37485,54887,30589,67504,25688,94202,22480,48877,13120,30896,6099,25869,4646,18521,3186,5727,2131,15,290,0,1,0,0,0,0
1호선,동대문,620,13,13095,2198,9135,7173,11941,12507,17471,25104,16819,23527,16366,22714,17629,25220,21258,25909,22664,24403,23524,23966,24632,22634,25447,19352,25133,19093,24186,18922,16973,20328,13729,14643,13253,10925,10893,10333,4659,10298,25,1012,0,0,0,0,0,0
1호선,신설동,329,8,8845,2319,8238,7808,15648,21995,21432,60926,16024,35914,13916,20417,16741,18065,18198,18266,20318,19213,21068,18000,22759,18266,28216,18646,35321,21133,55588,25131,22750,17589,14779,11410,12833,10674,9393,9619,3648,6938,27,663,0,0,0,0,0,0
1호선,제기동,380,0,4512,2004,7642,8832,18514,17262,26796,38379,20906,36631,23574,35818,31391,40557,36600,38148,37399,39596,40449,42653,43962,37148,39529,29100,37289,23727,36082,24917,18764,17104,11365,10642,8837,9584,7292,8410,2672,5062,12,523,0,0,0,0,0,0
1호선,청량리(서울시립대입구),1255,13,10439,4125,13779,12831,35493,15331,43815,32246,30780,31191,29326,34526,35382,39902,36673,39149,39290,40945,41615,44584,44553,42738,45788,39328,43942,39758,40624,47825,25836,33336,19689,20123,13435,17918,9475,16068,3596,10376,47,1238,0,1,1,0,0,0
