호선명,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
1호선,서울역,668,10,7831,5147,9575,32698,28723,68782,45121,152887,29083,97470,24834,38826,29244,30460,33582,32570,35117,32630,33247,31822,42111,32009,50846,33187,93986,41883,151111,48146,72919,35168,47476,22261,41126,17376,26561,13148,11732,7659,1000,2079,0,84,1,1,0,0
1호선,시청,43,0,1759,3346,2859,15010,5397,56703,6460,142068,6807,76591,7136,23958,9902,18024,10411,16431,13289,16892,17684,14493,22936,11977,26543,10671,55935,10354,114932,10659,49453,6183,31746,3766,28945,3212,18972,2279,6358,1309,257,287,0,7,0,0,0,0
1호선,종각,73,1,2525,3881,2902,21642,4606,89741,7359,179659,8318,123842,10554,47423,15631,32750,19047,28338,24851,31851,31162,27867,38924,23084,47145,22241,98524,26106,164928,31117,82379,20085,58362,8020,62256,5168,44598,3252,19099,1969,1153,516,0,2,0,0,0,0
1호선,종로3가,145,22,3593,2128,2988,10318,3722,21614,5683,64904,8219,66774,13645,50934,23236,44151,28726,40201,35984,42622,37663,38870,41859,32699,46674,26391,57963,24562,88563,26013,50373,15641,33046,6686,34970,4385,26459,3331,10761,2385,1179,1186,0,8,0,1,0,0
1호선,종로5가,27,2,1549,3286,2314,12387,3726,34443,6048,97070,8748,63332,13472,38342,18841,32674,22236,30846,25436,29363,31158,28572,35959,25720,41568,20393,62538,17860,87884,16148,44479,9657,25060,4753,19086,3698,13248,2352,4741,1569,252,468,0,0,0,1,0,0
1호선,동대문,728,24,12415,1673,7892,5905,10838,10262,14762,20937,14090,18906,12004,14743,12738,15264,14607,15528,15362,15557,16313,15733,16880,15145,18480,13584,19644,14451,20230,15411,13687,17902,10543,11493,9695,8694,7730,8231,3974,8169,465,2634,2,18,0,2,0,0
1호선,신설동,367,14,8752,2009,7856,6663,14655,19723,19619,59695,14880,30042,10995,15085,12243,13782,13049,13360,15000,13300,15951,14365,17070,14398,19554,15061,33773,18119,52816,22521,21993,16443,12795,10108,11191,9057,8244,7873,3580,4768,376,1313,0,1,0,0,0,0
1호선,제기동,314,3,3891,1790,6571,7425,16941,15286,23774,36499,16902,31760,16748,25284,21920,27920,26106,26587,26933,29749,28894,31839,31971,27994,30462,23418,31754,19745,34296,21160,17214,15683,9590,9328,8036,7349,6653,6652,2825,4062,253,1026,0,0,0,0,0,0
1호선,청량리(서울시립대입구),1233,26,9682,3653,12535,10463,33151,12445,41906,29312,27153,22949,21634,24115,23386,27935,27139,27907,28932,31138,31260,34953,33632,33387,35329,31303,35928,32202,35099,43825,21716,30645,14013,16929,9896,14471,7219,12419,3169,8256,222,2502,3,2,0,1,0,0
1호선,동묘앞,91,1,3113,769,2727,3941,4646,7715,6262,17941,5826,12671,6180,13386,8913,17117,12457,19686,16488,21393,20102,23345,22526,19316,23766,14377,23187,10803,21158,8619,9629,5647,5230,3495,4318,3387,3072,2906,1365,2389,199,1197,0,75,0,0,0,0
2호선,시청,31,0,1045,1289,1720,11862,4055,63820,5762,181332,6181,92947,8554,21449,11902,15116,12428,13444,15855,15712,19452,13304,21620,11805,25913,10966,64133,10842,144513,11214,62109,6257,32035,3545,28691,2849,17939,2529,6803,1723,970,545,4,26,0,0,0,0
2호선,을지로입구,71,0,2262,2001,2780,19978,6269,106504,9994,244250,10620,135227,11399,49660,16644,35899,19395,31006,26041,29796,31838,26521,40890,22556,46920,21593,115397,24042,203016,27038,90393,15987,78525,9218,45026,7993,30244,6278,10935,4095,1443,1466,2,544,0,0,0,0
2호선,을지로3가,8,0,795,1356,1719,15416,3921,61503,6505,132010,6637,61226,7238,24589,9542,16469,10523,14445,13119,16622,16676,14392,20434,12628,26020,12425,61883,13765,110647,16621,49715,10205,29340,4935,27855,3328,21467,2682,10906,1712,1623,459,1,25,0,0,0,0
