측정망,측정소명,1일,2일,3일,4일,5일,6일,7일,8일,9일,10일,11일,12일,13일,14일,15일,16일,17일,18일,19일,20일,21일,22일,23일,24일,25일,26일,27일,28일,29일,30일,31일
도시대기,[서울 강남구]강남구,93,91,84,125,147,112,42,27,31,38,46,51,12,21,31,26,21,21,44,71,24,19,14,13,26,32,58,50,19,22,26
도시대기,[서울 강동구]강동구,85,84,73,98,136,95,39,29,29,33,44,47,12,20,31,26,23,23,42,64,25,23,16,15,28,33,58,51,21,24,28
도시대기,[서울 강북구]강북구,73,77,78,102,147,95,38,25,25,29,44,46,11,18,29,25,20,23,40,59,21,19,14,13,27,32,59,46,17,22,26
도시대기,[서울 강서구]강서구,98,99,87,137,138,109,43,26,32,42,50,48,9,19,31,25,24,21,38,66,24,16,14,12,23,29,56,41,17,20,23
도시대기,[서울 관악구]관악구,94,93,84,139,137,107,43,28,32,33,50,52,12,18,40,34,28,23,43,76,31,17,16,15,31,42,70,55,21,28,28
도시대기,[서울 광진구]광진구,84,77,71,106,139,99,35,30,30,33,45,51,12,20,33,31,25,25,48,75,30,20,16,14,32,39,65,55,21,27,26
도시대기,[서울 구로구]구로구,92,91,78,133,129,103,34,23,29,34,48,45,5,16,31,26,23,20,40,72,26,12,11,10,26,32,61,46,16,20,21
도시대기,[서울 금천구]금천구,79,88,73,124,114,93,39,26,26,30,43,42,12,19,29,28,22,20,35,60,25,19,17,16,26,31,52,44,20,23,26
도시대기,[서울 노원구]노원구,78,85,79,108,143,98,39,28,28,37,46,49,13,20,32,29,23,24,42,67,24,24,19,17,29,36,60,48,20,26,30
도시대기,[서울 도봉구]도봉구,71,75,73,105,137,94,36,24,26,36,48,47,10,18,32,28,21,23,42,70,24,16,13,11,28,34,63,46,18,22,24
도시대기,[서울 동대문구]동대문구,87,86,79,113,137,97,35,28,30,37,44,48,12,19,30,28,20,22,42,67,22,19,14,13,26,32,52,44,18,20,24
도시대기,[서울 동작구]동작구,88,95,84,136,135,102,45,25,27,34,47,51,12,19,32,30,23,21,41,69,26,21,16,15,29,35,60,52,21,25,29
도시대기,[서울 마포구]마포구,89,92,82,128,140,111,43,26,34,40,51,52,8,24,36,32,26,22,45,76,30,16,15,14,28,38,67,53,18,25,25
도시대기,[서울 서대문구]서대문구,78,79,81,118,144,107,39,27,31,31,51,55,12,23,39,33,24,27,47,70,29,18,16,14,31,39,69,53,19,25,25
도시대기,[서울 서초구]서초구,85,86,79,124,134,106,45,27,32,36,49,55,11,21,37,32,27,25,46,81,33,19,15,14,33,40,65,59,21,27,27
도시대기,[서울 성동구]성동구,93,92,84,124,153,115,39,33,34,36,54,58,14,23,41,36,26,27,52,84,35,22,18,14,35,41,73,60,21,29,28
도시대기,[서울 성북구]성북구,61,62,61,93,119,85,32,22,21,26,40,38,11,17,24,20,18,20,35,50,21,19,13,12,22,28,49,39,17,17,23
도시대기,[서울 송파구]송파구,79,78,68,102,122,93,32,24,25,27,42,45,8,17,31,27,20,21,41,68,26,17,12,11,28,33,61,54,21,27,26
도시대기,[서울 양천구]양천구,102,103,87,141,141,109,42,25,31,40,51,51,10,19,32,27,24,21,39,70,26,17,15,12,24,30,60,46,18,22,26
도시대기,[서울 영등포구]영등포구,100,99,88,138,141,114,47,30,38,41,55,60,16,21,44,35,29,26,50,84,34,20,19,16,36,41,74,59,22,30,29
도시대기,[서울 용산구]용산구,89,88,82,125,141,104,40,26,29,35,45,49,10,22,30,25,20,20,42,66,22,18,13,11,24,33,56,49,18,22,25
도시대기,[서울 은평구]은평구,70,70,70,107,127,95,36,22,28,27,47,50,11,20,33,27,20,23,40,55,25,17,14,13,28,35,62,48,18,24,23
도시대기,[서울 종로구]종로구,74,74,69,100,122,88,35,25,25,30,40,44,11,18,28,25,19,21,36,60,23,18,14,13,23,30,49,43,17,21,23
도시대기,[서울 중구]중구,75,75,69,103,122,90,35,23,26,29,41,45,10,20,29,24,19,20,36,62,21,17,13,11,23,29,51,43,17,21,23
도시대기,[서울 중랑구]중랑구,82,79,73,103,138,93,36,29,28,34,41,54,12,19,29,26,21,23,42,65,23,20,14,13,26,33,55,47,19,22,26
도로변대기,[서울 강남구]도산대로,90,89,82,128,144,110,41,27,32,36,50,52,11,21,37,32,23,22,51,82,31,16,13,11,33,41,71,58,19,25,25
도로변대기,[서울 강동구]천호대로,77,78,70,95,130,93,34,25,26,29,42,46,12,20,29,25,21,20,39,63,23,22,16,14,28,31,55,48,20,23,25
도로변대기,[서울 강서구]공항대로,104,109,97,147,145,115,49,30,34,45,57,53,10,25,34,28,26,22,45,75,29,19,17,15,27,33,66,45,19,24,26
도로변대기,[서울 금천구]시흥대로,94,97,82,136,125,98,40,27,28,32,42,41,12,20,28,25,22,21,34,59,23,17,15,13,27,33,54,40,19,21,24
도로변대기,[서울 노원구]화랑로,81,80,74,104,146,107,36,30,33,42,47,50,13,22,33,30,23,29,36,49,25,26,20,17,37,45,65,62,25,28,30
도로변대기,[서울 동대문구]홍릉로,90,90,84,121,148,105,39,33,35,40,52,56,16,23,35,34,25,28,47,74,29,25,18,16,31,40,65,53,24,26,30
도로변대기,[서울 동작구]동작대로 중앙차로,83,87,79,134,139,106,41,25,27,31,44,48,6,16,33,29,20,20,44,77,28,12,11,10,31,37,66,53,16,23,21
도로변대기,[서울 마포구]신촌로,94,96,87,134,142,106,44,28,36,40,52,54,13,25,34,32,26,24,45,72,27,20,17,15,30,37,66,53,22,25,28
도로변대기,[서울 서초구]강남대로,84,90,81,125,144,109,48,27,28,34,49,53,10,21,36,31,22,24,47,80,37,18,16,14,33,38,69,57,21,26,27
도로변대기,[서울 성동구]강변북로,92,88,83,129,150,112,37,30,33,35,48,54,11,25,39,32,23,24,52,79,29,18,15,12,33,41,68,58,21,25,26
도로변대기,[서울 성북구]정릉로,83,84,81,115,151,110,38,31,34,42,55,56,14,24,39,36,24,28,52,83,33,21,17,16,33,42,73,55,22,27,28
도로변대기,[서울 영등포구]영등포로,87,85,73,116,121,93,36,21,25,31,42,45,9,17,29,24,21,17,37,65,24,17,14,12,26,30,56,45,17,22,23
도로변대기,[서울 용산구]한강대로,89,90,84,125,145,110,42,29,36,36,55,55,12,27,42,33,26,26,50,80,33,19,16,15,33,41,71,57,21,28,27
도로변대기,[서울 종로구]종로,81,79,76,109,138,99,38,24,25,31,42,49,10,17,32,26,19,21,41,69,25,18,12,11,26,32,56,48,17,21,23
도로변대기,[서울 중구]청계천로,86,84,81,116,138,102,40,28,30,37,46,51,13,21,34,29,22,25,45,73,27,21,16,14,27,35,58,49,21,24,26
