호선명,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2호선,한양대,11,1,2075,543,3371,6985,6298,20043,9449,60937,7660,59000,8705,43645,12635,22756,19703,30814,17876,25644,20815,21035,27026,15804,36701,14168,41689,15065,36474,19293,21651,11950,19401,7516,20751,6786,17400,6781,11302,5199,2167,1671,16,58,15,39,3,11
2호선,뚝섬,26,0,4852,1882,10049,15742,25905,29353,33475,106950,21582,54653,17224,24663,17499,21776,19635,22042,22648,23901,22643,22013,25593,23957,30646,26094,40620,29794,91255,39661,45575,30761,27383,18831,25291,16823,17628,16852,8550,11273,1236,3979,19,99,7,44,0,13
2호선,성수,44,3,6398,3890,11721,31170,27443,67770,35106,235173,27475,84087,24098,38054,24985,31363,27693,31201,32510,34642,35494,33389,38448,35218,47414,36847,69666,39729,166946,47876,85364,38271,45230,23172,41482,19701,31751,18259,15544,14406,1941,8205,44,1306,42,281,2,14
2호선,건대입구,380,7,23030,2238,28247,17850,63436,30514,106421,71855,71438,57219,44860,55003,45474,57956,51854,71222,59032,78519,60417,78198,67106,82609,76061,96699,85160,122974,103111,181522,84995,155480,85816,93921,97471,80878,102409,75192,65584,48643,10961,16234,156,1647,106,420,19,115
2호선,구의(광진구청),49,2,14827,1550,27435,12081,73828,16252,115147,40219,66723,26433,37615,21738,32504,21567,33262,23544,34293,26813,29917,28415,29784,35059,33216,41359,37426,52688,45364,82135,27382,73111,21581,49008,20024,47941,16723,48052,10546,29338,1553,9548,17,142,10,125,4,33
2호선,강변(동서울터미널),21,0,11003,4816,32893,37208,99977,42619,138563,60589,108052,56589,88615,54671,82897,53941,80252,61392,77368,70325,72911,76252,72151,87616,77185,96557,87173,107607,93662,144959,80451,123043,64959,86684,53839,77296,42527,73444,16328,41600,2222,10296,19,137,9,186,0,40
2호선,잠실나루,22,2,3455,1730,15381,11068,51379,24639,61486,43183,37134,30084,29422,22431,29422,20590,28796,23327,26676,25492,26190,24341,28096,24390,31148,25826,37132,30562,38942,45837,22761,41304,17787,26627,13412,25431,8662,24979,4074,16516,682,5477,7,127,8,84,0,17
2호선,잠실(송파구청),100,6,15448,6617,55548,44487,139088,93303,197459,173929,140985,169313,100323,118041,101612,131516,111943,128168,124533,133222,126885,132945,145641,139155,168059,151919,208660,171886,265077,240572,192038,195442,180789,119130,150040,110259,124268,111507,43784,69695,5387,17676,58,554,57,302,6,177
2호선,잠실새내,62,1,7689,1018,21133,11617,67626,20221,92878,31782,56946,36686,38823,28766,38325,30498,39493,34526,39934,40588,35725,44698,37895,50230,44640,56009,48224,70058,53612,98666,40682,86904,35187,52963,37792,45711,39701,44527,27309,25939,4412,8551,81,250,131,132,14,52
2호선,종합운동장,37,3,3298,1519,9321,15269,23885,26270,31532,39154,23862,25534,17437,20451,18421,17662,17391,22997,19243,30659,21052,30230,23056,49356,28183,93606,38193,92290,33829,114094,27789,58275,57495,23235,92538,20115,91793,20367,41652,12944,1649,3859,22,226,27,20,1,13
2호선,삼성(무역센터),212,19,5642,5406,9349,40681,20228,125835,27316,324445,28044,249220,29307,119957,42689,104293,54911,99025,73925,108462,89050,95866,111101,82778,131472,76673,178517,73866,307982,82206,195035,58277,139731,32109,120898,24269,94687,21504,31745,13029,4177,7373,2231,2199,1946,119,36,42
2호선,선릉,115,5,6855,6260,13545,43269,25574,114840,37142,291756,37607,216678,40864,88878,53170,64457,62106,59212,75477,67815,80429,59983,97920,53003,136688,53874,160362,58369,294025,64228,156820,47617,97821,28428,104313,23850,83035,22332,35691,15302,5914,6334,124,236,94,75,11,57
2호선,역삼,50,1,4785,7241,10098,38888,17207,118538,27925,340217,26168,257518,28233,102658,37406,68820,44962,58037,56104,69145,60836,60548,77113,54811,93045,48457,144849,52999,282686,63661,141070,48326,85906,27086,91474,21468,63489,19539,28331,13559,4745,4166,44,125,26,63,5,30
2호선,강남,272,15,17290,12198,25215,57148,47501,177670,74695,339144,62870,346065,63717,180339,84928,150954,111042,153808,144073,182199,147431,158199,177025,150397,199666,154921,251332,182703,382504,255212,264366,198324,215243,99080,258259,76023,280688,64820,134091,44404,23464,12106,381,392,325,522,42,141
2호선,교대(법원.검찰청),24,0,3323,7190,14304,30482,28876,72010,42382,160714,35108,153126,34162,75507,41421,68472,44439,64281,56322,68892,61884,62969,66662,57812,69294,58547,91775,67719,158357,88966,85243,61288,64621,34921,73315,30635,73581,30275,28082,18153,5249,5232,52,122,17,129,3,49
2호선,서초,9,0,1549,5564,7476,22092,16249,53405,25072,128979,27317,93801,21561,46558,30395,39237,29314,30815,38890,33865,39063,33067,44160,26082,51575,27189,62557,27774,111621,32386,51936,24962,34629,12968,38331,12219,30668,12273,10419,7611,1356,1873,17,31,5,30,0,19
