호선명,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2호선,한양대,4,0,1310,348,2669,6346,6284,16084,9980,81404,8092,80738,9160,61920,12948,22737,18487,38466,19268,27138,26761,22963,34584,16671,48211,14128,60069,18706,47042,25450,24313,13059,21243,7694,25853,6860,16979,6701,8808,4928,1701,1696,6,76,0,0,0,0
2호선,뚝섬,27,0,4578,2031,10037,14885,25892,30204,35654,121401,22910,60611,18351,28122,19559,22200,21863,23777,23678,25038,24325,24455,26808,25080,32929,26604,44241,32223,101641,47449,52325,32909,29553,19176,31868,17645,21288,17611,8481,11927,1311,4088,9,136,1,0,0,0
2호선,성수,86,15,6050,4473,11273,28320,28704,65492,37562,263838,30076,99462,26047,42421,27169,34561,29798,34140,34693,38097,38564,37977,42171,38863,49356,39328,82313,44005,191825,53037,91307,40305,50695,24121,48212,21375,36298,18762,15931,13172,2165,6785,8,987,0,0,0,0
2호선,건대입구,336,12,20499,1945,26620,16978,64563,29311,111405,79212,76034,56724,48799,59519,46845,60126,55635,72910,63497,81411,64952,82259,71178,87401,79921,102993,93969,137449,110989,204113,89788,166936,92237,93966,108633,83164,116770,73844,74133,47109,11474,15681,9,1241,0,0,0,0
2호선,구의(광진구청),62,0,14485,1440,27206,10838,75959,16360,125841,43228,75084,27105,41690,23253,35297,22727,37347,24236,37563,29175,33735,31756,31757,38087,35514,44621,39036,57804,48689,90451,28348,79312,22077,51850,20329,52103,18341,50141,10410,31294,1729,9628,3,386,0,0,0,0
2호선,강변(동서울터미널),34,2,9828,4009,31090,31131,101311,37957,147746,62350,115201,59440,91019,53922,85620,55184,81838,61346,80400,71277,74599,79077,75169,91392,80682,101479,88168,114640,97905,152442,79981,127109,64229,87023,59585,76473,37888,71396,15158,40291,2111,9951,15,257,0,0,0,0
2호선,잠실나루,7,1,3084,1760,12752,9920,49150,23123,60555,39503,36955,28182,27614,20474,27889,19921,27705,22998,25964,23946,26415,23478,27054,24275,30271,25650,36056,30937,36939,45416,21237,40736,16502,25643,12342,24153,8290,25326,3663,15271,546,5074,1,201,0,0,0,0
2호선,잠실(송파구청),105,5,13274,6201,50342,41747,133275,91770,195025,190779,143995,171586,99578,118739,100547,131759,108867,129923,123517,137548,127341,134935,142040,144397,165554,159394,208383,183300,274122,248917,196221,192439,184121,113792,156269,109193,130417,105084,42267,63953,4667,15366,12,845,0,0,0,0
2호선,잠실새내,23,3,5469,804,18165,8598,68527,19358,91595,31752,58550,34747,39192,28198,38355,29276,40215,34755,40126,39620,35796,41641,36358,46940,42853,52947,44564,68199,51022,99854,40012,85311,34698,50456,36205,43851,35970,41744,21517,24220,3367,7782,4,450,0,0,0,0
2호선,종합운동장,13,2,2046,1392,7468,10482,20916,26812,31174,36916,21635,26842,16510,20922,20318,22145,24657,29058,26417,40296,22817,28637,23682,25500,29079,31377,45022,32155,29431,41863,25226,27525,21771,15702,26099,14981,19663,16025,6094,9507,1270,2888,4,149,1,1,0,0
2호선,삼성(무역센터),174,0,5506,5495,8971,39746,20547,125391,28323,353680,28516,269866,29715,134376,43684,115657,56591,103526,77496,113302,93221,100517,117985,85029,138023,78642,196732,78880,324982,88305,210620,57324,153902,28854,133397,21923,98526,20192,28303,10941,3879,5482,4,1199,0,0,0,0
2호선,선릉,134,5,6144,6345,12669,37214,26196,109475,40464,301102,40340,221681,40935,102256,53602,70453,63600,65135,76491,76131,83392,65323,102126,58054,138612,57080,162585,62881,295928,70365,164158,50331,103549,29882,105241,24874,89459,23091,35162,14449,5495,6458,11,344,0,0,0,1
2호선,역삼,38,0,4398,7576,9512,38681,17305,128949,29959,359266,29067,280177,30413,118744,40555,79173,49828,67020,62354,77046,67290,65543,85775,58365,101697,53589,166073,58152,288454,69472,157598,51778,98836,29535,102664,23202,71400,20322,29785,13044,5130,4270,16,170,1,0,0,0
2호선,강남,276,4,16723,12909,26459,56208,49010,183383,79432,356631,69682,365920,68460,188019,90225,158311,116016,155141,150815,187671,153664,168298,183410,156417,207618,161417,263937,203183,388964,280075,268709,211252,222584,100037,279018,74025,297975,63582,131084,40073,21330,12617,58,532,0,0,0,0
2호선,교대(법원.검찰청),20,1,2777,7609,13577,28542,31162,71004,44738,165722,38081,150625,34866,81661,43370,73790,46217,69783,58969,73676,67647,68059,70835,62874,72292,63600,99829,77409,161353,97796,87337,66367,70126,36898,78609,32064,72297,30923,27655,17295,5215,5290,19,113,0,0,0,0
2호선,서초,7,1,1737,5916,11728,21156,18815,54670,26550,132798,29063,107423,23065,50343,33503,43506,31583,33450,42522,35746,42420,35330,46063,27041,57148,28989,68250,29494,115104,33342,58758,24298,37085,13544,40214,12102,28514,12341,9049,7405,1271,2157,5,59,1,1,0,0
2호선,방배,6,1,3464,3477,10941,12482,30499,31056,41217,88915,34157,73591,25248,48762,27145,34685,29843,36030,34492,34404,35435,32341,43965,30075,51660,34005,62302,39831,88811,48848,43562,39867,30938,25167,32952,23772,26730,26585,11948,15273,2333,4769,7,163,0,0,0,0
2호선,사당,70,0,14357,3812,26042,32882,83019,58740,108688,83623,85609,70426,56523,54220,53264,64880,61773,66591,70147,63764,75156,62522,73413,72700,75074,95471,86600,128878,111022,187150,84730,153809,78710,87010,89470,82015,86954,80748,50191,52586,8631,15894,90,1293,0,0,0,0
