측정망,측정소명,1일,2일,3일,4일,5일,6일,7일,8일,9일,10일,11일,12일,13일,14일,15일,16일,17일,18일,19일,20일,21일,22일,23일,24일,25일,26일,27일,28일,29일,30일
도시대기,[서울 용산구]용산구,29,23,28,23,21,19,23,19,23,25,20,17,12,28,36,28,20,13,15,8,9,10,12,13,24,15,17,19,22,18
도시대기,[서울 은평구]은평구,30,22,34,30,18,20,28,16,20,23,21,19,9,25,34,27,21,15,12,8,8,10,11,12,23,12,14,19,27,16
도시대기,[서울 종로구]종로구,29,26,32,28,23,24,26,20,25,25,23,21,12,30,37,31,22,13,15,9,11,11,13,13,22,15,17,20,25,18
도시대기,[서울 중구]중구,33,28,38,31,23,25,29,20,27,27,23,22,13,32,40,33,24,14,16,9,10,11,13,14,23,15,17,21,26,21
도시대기,[서울 중랑구]중랑구,30,21,26,25,22,20,24,18,23,22,23,18,11,26,34,27,18,12,15,9,10,12,13,14,23,14,16,18,24,19
도로변대기,[서울 강남구]도산대로,30,22,34,26,17,21,27,16,20,25,19,18,10,26,34,28,23,14,15,8,8,10,10,12,24,12,15,19,27,16
도로변대기,[서울 강동구]천호대로,32,23,28,27,21,20,25,18,23,24,23,18,12,28,39,33,19,14,16,9,10,11,12,13,21,14,17,17,25,19
도로변대기,[서울 강서구]공항대로,27,27,28,22,22,22,21,20,25,26,21,20,13,30,33,29,21,12,15,9,9,10,12,12,22,14,16,20,21,18
도로변대기,[서울 금천구]시흥대로,29,27,30,25,22,20,22,19,25,27,21,19,15,30,36,31,23,14,16,10,10,11,13,15,25,16,19,21,22,19
도로변대기,[서울 노원구]화랑로,30,21,30,28,18,21,27,14,19,19,24,18,8,22,32,28,20,12,15,9,8,11,10,13,22,12,13,17,29,17
도로변대기,[서울 동대문구]홍릉로,31,23,32,28,20,21,25,18,23,23,22,18,10,27,34,28,20,11,14,9,8,10,11,12,22,13,15,18,24,18
도로변대기,[서울 동작구]동작대로 중앙차로,33,26,39,30,21,24,34,18,26,30,25,20,13,31,39,35,27,18,19,10,10,15,14,15,27,13,19,22,30,19
도로변대기,[서울 마포구]신촌로,31,26,37,30,22,23,29,20,25,27,23,21,14,32,40,32,25,15,17,10,11,12,14,15,25,16,18,22,26,20
도로변대기,[서울 서초구]강남대로,28,16,30,25,15,17,26,13,20,22,18,14,8,23,32,27,20,12,13,7,6,10,9,11,21,10,15,15,25,13
도로변대기,[서울 성동구]강변북로,26,19,32,25,15,17,21,13,18,22,18,15,7,24,33,24,17,11,11,7,6,6,5,8,17,9,13,16,24,13
도로변대기,[서울 성북구]정릉로,37,26,40,33,24,26,34,18,24,25,26,22,11,29,39,34,25,15,17,11,11,13,14,16,27,14,18,23,32,21
도로변대기,[서울 영등포구]영등포로,29,26,37,30,21,23,27,21,27,29,23,21,14,32,38,33,24,14,17,10,11,12,14,15,25,15,20,23,26,20
도로변대기,[서울 용산구]한강대로,32,26,32,26,22,23,25,20,25,26,26,20,14,33,40,31,27,13,17,10,11,12,14,17,25,16,17,23,27,22
도로변대기,[서울 종로구]종로,32,26,34,29,22,24,26,20,24,26,23,21,14,29,35,30,23,14,16,11,12,12,14,14,23,16,18,21,24,19
도로변대기,[서울 중구]청계천로,37,30,37,32,25,28,30,23,28,29,26,22,15,33,41,34,26,15,17,12,13,13,15,16,25,18,19,23,27,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
