측정망,측정소명,1일,2일,3일,4일,5일,6일,7일,8일,9일,10일,11일,12일,13일,14일,15일,16일,17일,18일,19일,20일,21일,22일,23일,24일,25일,26일,27일,28일,29일,30일
도시대기,[서울 강남구]강남구,31,25,33,28,23,21,26,20,25,27,23,19,13,29,38,31,22,14,17,8,10,10,13,14,22,15,17,19,25,20
도시대기,[서울 강동구]강동구,32,26,30,28,24,22,26,19,26,27,26,21,13,30,40,32,18,13,17,9,10,10,13,14,23,16,17,19,25,21
도시대기,[서울 강북구]강북구,36,25,29,25,27,23,25,20,25,25,27,22,12,26,38,32,21,11,16,9,11,11,13,14,23,14,16,20,26,20
도시대기,[서울 강서구]강서구,26,26,34,27,21,22,24,19,24,26,21,20,13,30,35,29,22,13,16,8,9,12,13,12,22,13,16,20,23,18
도시대기,[서울 관악구]관악구,26,23,28,21,20,18,19,17,22,23,20,16,12,26,31,27,19,12,14,7,8,8,11,12,21,14,15,18,20,17
도시대기,[서울 광진구]광진구,33,22,33,30,18,20,27,15,20,23,21,16,7,27,40,29,20,13,14,8,11,8,11,12,23,11,15,17,29,19
도시대기,[서울 구로구]구로구,29,24,37,29,17,20,26,17,21,25,22,19,12,28,36,25,43,20,24,14,11,12,14,16,28,18,23,26,32,23
도시대기,[서울 금천구]금천구,29,26,33,28,22,20,24,19,26,27,21,18,14,29,34,29,21,13,15,8,9,10,12,13,22,15,17,19,21,17
도시대기,[서울 노원구]노원구,34,26,31,29,28,23,27,20,26,25,28,23,11,28,39,33,20,12,16,9,10,12,13,15,24,16,17,19,28,
도시대기,[서울 도봉구]도봉구,35,22,29,29,22,21,26,16,19,21,24,20,8,21,35,29,20,11,14,7,8,11,11,12,22,12,13,17,29,17
도시대기,[서울 동대문구]동대문구,27,21,27,23,18,18,24,16,20,21,19,18,9,25,33,27,18,11,12,6,7,7,9,10,19,11,13,16,23,16
도시대기,[서울 동작구]동작구,34,28,35,31,25,23,27,22,27,28,24,21,14,31,41,34,25,16,18,9,10,11,13,13,24,16,19,20,27,20
도시대기,[서울 마포구]마포구,27,24,32,26,20,20,23,19,24,25,21,19,12,30,36,29,21,12,14,7,8,9,11,12,22,14,15,18,21,17
도시대기,[서울 서대문구]서대문구,31,24,36,30,20,22,30,17,23,24,23,21,10,29,37,30,23,14,15,9,9,12,12,13,25,14,16,21,29,18
도시대기,[서울 서초구]서초구,33,25,40,31,19,23,33,19,25,30,25,22,12,29,40,34,29,20,23,14,10,12,13,16,29,15,26,27,34,23
도시대기,[서울 성동구]성동구,30,24,30,27,22,20,24,19,24,25,20,19,12,28,37,29,20,13,15,9,10,11,13,13,24,15,18,19,26,19
도시대기,[서울 성북구]성북구,30,23,30,27,21,20,25,16,21,21,21,18,8,24,34,28,20,11,14,8,8,11,11,11,23,11,14,17,24,17
도시대기,[서울 송파구]송파구,30,24,26,24,22,19,24,18,24,25,23,17,11,27,35,31,19,12,15,7,9,10,13,15,24,15,17,18,23,20
도시대기,[서울 양천구]양천구,29,27,37,30,23,21,25,21,27,27,22,20,13,31,37,29,22,12,16,8,9,10,12,12,21,14,17,21,22,18
도시대기,[서울 영등포구]영등포구,28,23,33,26,19,20,23,18,23,25,20,18,12,28,35,28,22,12,15,7,8,10,11,12,21,13,15,18,20,16
